name,play,fans,label,score,times,date,info,imgUrl,longComments,shortComments
黑暗阴影,1142万,1141.9万次播放,3.9万,8.0,935人评,2012年5月9日上映,113分钟,http://i0.hdslb.com/bfs/bangumi/image/31cb4f56e5acd17703076812569c8accbaa5fb99.png,3,267
楚门的世界,1136.4万,1136.4万次播放,9.2万,9.9,14691人评,1998年6月5日上映,102分钟,http://i0.hdslb.com/bfs/bangumi/7cae69882325170b9b8ae43d350b2d19199ab3b7.jpg,81,3325
肆式青春,1136.3万,1136.3万次播放,8.8万,8.2,10131人评,2018年8月4日上映,74分钟,http://i0.hdslb.com/bfs/bangumi/6e5963473ab9b1c37ffe19309d12d86babd86dc0.jpg,397,4588
天书奇谭,1130.1万,1130.1万次播放,4.5万,9.9,8148人评,2021年11月5日上映,100分钟,http://i0.hdslb.com/bfs/bangumi/image/795e42ab56785eb356e4060bf605e2fd6059dab1.png,8,2128
海兽之子,1117.8万,1117.8万次播放,4.4万,8.4,5822人评,2019年6月7日上映,111分钟,http://i0.hdslb.com/bfs/bangumi/image/94261dbeaba06321abd6137aec3d0b6815cf3e51.png,61,2089
猫鼠游戏,1099.5万,1099.5万次播放,14万,9.8,11295人评,2002年12月25日上映,140分钟,http://i0.hdslb.com/bfs/bangumi/25b51499adb27be007e6dae2d564c7eaa62dcc35.jpg,17,2204
普罗米亚,1068.1万,1068.1万次播放,6.6万,9.7,17936人评,2021年6月5日上映,111分钟,http://i0.hdslb.com/bfs/bangumi/image/d5ea7981eda7ac2c4d1cd6a180e77eecdfff5514.png,70,6294
新蝙蝠侠,1065.6万,1065.6万次播放,5.9万,9.1,4535人评,2022年3月4日上映,176分钟,http://i0.hdslb.com/bfs/bangumi/image/f0517495af5c2d8452cc3ce3550e49bf894a572d.png,62,1280
情书,1055.9万,1055.9万次播放,3.4万,9.8,11535人评,2021年5月20日上映,117分钟,http://i0.hdslb.com/bfs/bangumi/image/50663246cdd8b59a897a0569ee64c929ef604b93.png,64,3071
从很久以前就喜欢你了。～告白实行委员会～,1047.7万,1047.6万次播放,22万,9.5,3676人评,2016年4月23日开播,"已完结, 全1话",http://i0.hdslb.com/bfs/bangumi/1eaf4c554ba073db011da2d80b5abda7960321e1.jpg,9,934
憨豆特工,1039.9万,1039.9万次播放,8.9万,9.7,7071人评,2003年9月12日上映,87分钟,http://i0.hdslb.com/bfs/bangumi/84b3c6adb120521f175c7ff44a304f8b6287a960.jpg,3,1508
惊天魔盗团2,1038.2万,1038.1万次播放,5211,9.2,4634人评,2016年6月24日上映,130分钟,http://i0.hdslb.com/bfs/bangumi/bef08d888aade9721278295b46679a21299d5a1c.png,4,953
哥斯拉,1014.5万,1014.5万次播放,13.4万,9.2,5573人评,2014年6月13日上映,123分钟,http://i0.hdslb.com/bfs/bangumi/image/9e72900f5a70dfc8accbda87147abff9ac43bc67.jpg,6,1121
名侦探柯南 计时引爆摩天楼,1010.3万,1010.3万次播放,10.1万,9.8,5286人评,1997年4月19日开播,"已完结, 全1话",http://i0.hdslb.com/bfs/bangumi/image/0e3489174b2b16d1ce51849f6803822ba94ce339.jpg,13,1281
我是传奇,1006.7万,1006.7万次播放,10.7万,9.6,6406人评,2007年12月14日上映,103分钟,http://i0.hdslb.com/bfs/bangumi/image/8fc725dbe269bc3fb9bf84720b58da3137cb650e.jpg,31,1146
魔法禁书目录 剧场版,984万,984万次播放,45.1万,9.1,5443人评,2013年2月23日开播,"已完结, 全1话",http://i0.hdslb.com/bfs/bangumi/b324979bd71fdca9f6448789aafad12a834a1ca5.jpg,15,1306
建党伟业,971.2万,971.2万次播放,5.8万,,,2011年6月15日上映,124分钟,http://i0.hdslb.com/bfs/bangumi/cbae505a986058244c349f9aca632055f80bdcb0.jpg,,
浪客剑心,967.2万,967.1万次播放,6.9万,9.7,6431人评,2012年8月25日上映,134分钟,http://i0.hdslb.com/bfs/bangumi/image/79012f9e400411dabe1caa053c659ea0e125cd04.png,7,1419
沉默的羔羊,963.7万,963.7万次播放,9.4万,9.7,7946人评,1991年2月14日上映,118分钟,http://i0.hdslb.com/bfs/bangumi/image/79013fe1bf82ecc8c744ecb4997c8421d1485e4a.jpg,32,1717
蝙蝠侠大战超人：正义黎明,961.4万,961.4万次播放,16.5万,9.4,9680人评,2016年3月25日上映,183分钟,http://i0.hdslb.com/bfs/bangumi/image/50792eaa21b4b4cccf554925547f5303a3747d18.jpg,56,2404
无人区,954.4万,954.4万次播放,10.1万,9.7,4432人评,2013年12月3日上映,112分钟,http://i0.hdslb.com/bfs/bangumi/baf467df02576a13a21fbabb37662c3171b45e02.jpg,11,974
疯狂原始人2,952.6万,952.6万次播放,6.8万,9.7,10216人评,2020年11月27日上映,95分钟,http://i0.hdslb.com/bfs/bangumi/image/fb81e039426afaa36b48684ae45b73d2b1cc8f69.png,18,3047
守望者,951.2万,951.2万次播放,9.6万,9.6,8176人评,2009年3月6日上映,215分钟,http://i0.hdslb.com/bfs/bangumi/9950696b0c7b520c04e10f676f24feeb28fab7ea.jpg,35,2376
大侦探福尔摩斯,949.4万,949.4万次播放,5827,9.7,6293人评,2010年2月25日上映,128分钟,http://i0.hdslb.com/bfs/bangumi/image/b8b8f255efd10ac9ac8fe7b6153b6b80a6b36e14.jpg,7,952
剧场版 中二病也要谈恋爱！ -Take On Me-,945.5万,945.4万次播放,46.4万,9.8,38462人评,2018年7月18日开播,"已完结, 全1话",http://i0.hdslb.com/bfs/bangumi/0e6d5571659719b0ce20c601052573344aa19630.png,318,14366
K MISSING KINGS,942.5万,942.5万次播放,20.8万,9.5,2249人评,2014年7月12日开播,"已完结, 全2话",http://i0.hdslb.com/bfs/bangumi/ff85b64a18556bb5c0a28a2168048f7cd3721ce3.jpg,8,447
变形金刚2,937.7万,937.7万次播放,12.2万,9.6,3385人评,2009年6月24日上映,149分钟,http://i0.hdslb.com/bfs/bangumi/d8a8c1a1c81c41030df8437c31ccc404df82daf2.jpg,6,546
1917,917.3万,917.3万次播放,6.9万,9.7,12706人评,2020年8月7日上映,119分钟,http://i0.hdslb.com/bfs/bangumi/image/91bb246c4ee3d4ae3c1bc841a37e2faaf398cf25.jpg,26,2738
超人：钢铁之躯,912.4万,912.3万次播放,10.2万,9.5,6046人评,2013年6月20日上映,143分钟,http://i0.hdslb.com/bfs/bangumi/61180409a9ba91ae63aaa1b0c085f6d77ef29f55.jpg,21,1241
初恋这件小事,898.9万,898.9万次播放,17.3万,9.7,6477人评,2010年8月12日上映,118分钟,http://i0.hdslb.com/bfs/bangumi/85698e90b464bc7aaa8058c673f5cef8161d0e19.jpg,26,2149
刺客信条,871.6万,871.5万次播放,4.8万,8.2,4967人评,2017年2月24日上映,116分钟,http://i0.hdslb.com/bfs/bangumi/image/b96ab96af0a2498069229390bff21915b26233c7.jpg,29,1538
超体,866.3万,866.3万次播放,9.3万,8.8,6981人评,2014年10月24日上映,89分钟,http://i0.hdslb.com/bfs/bangumi/image/8c80d70df29485240a2f9aca71c6b7ce9f5384dc.png,31,1735
电影版 境界的彼方未来篇,864.6万,864.6万次播放,37.7万,9.5,8694人评,2015年4月25日开播,"已完结, 全1话",http://i0.hdslb.com/bfs/bangumi/image/adea2035933fe8f62a66fc6d6a98e5d380de9b90.jpg,36,2340
太阳照常升起,862.3万,862.3万次播放,7.2万,9.6,4529人评,2007年9月21日上映,116分钟,http://i0.hdslb.com/bfs/bangumi/image/13c8380b73f6eb834065373409ac0f43d78b65ae.jpg,26,1251
工作细胞：细胞大作战,860.7万,860.7万次播放,2.6万,9.2,1833人评,2021年4月9日上映,111分钟,http://i0.hdslb.com/bfs/bangumi/image/6f0e6f9218e4198fbd497379baf30ff2ef4eb92c.png,2,424
