name,play,fans,label,score,times,date,info,imgUrl,longComments,shortComments
残次品·放逐星空,4894.3万,187万追番,22.2万,5.9,9031人评,2021年7月30日开播,"已完结, 全16话",http://i0.hdslb.com/bfs/bangumi/image/b1fe6ca99275656517d56448f277e1c84a0685e0.jpg,128,4796
大王不高兴 第二季,3814.1万,187万追番,15.9万,7.0,3684人评,2020年7月21日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/80150e4f0bd11d3427a47d48d579707a3f1f1ef2.png,19,1274
猫之茗,7242.8万,184.5万追番,33万,9.7,7653人评,2021年10月26日开播,"已完结, 全18话",http://i0.hdslb.com/bfs/bangumi/image/409b014e3b48d4d8c838c950c1fbd44fd8838dd3.jpg,16,2349
请吃红小豆吧！ 第三季,3670.3万,184.2万追番,29.4万,9.8,10169人评,2020年1月12日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/95e6effc25686d4bfaee59fadceb475aa86f9f13.jpg,4,3873
大王不高兴,7514.2万,177.3万追番,24.3万,7.8,9732人评,2020年1月1日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/3f8da538f4e550041672eae176647a645beb5537.jpg,25,3513
妖怪名单 第二季,6408.6万,176.3万追番,49.8万,9.2,6869人评,2017年8月3日开播,"已完结, 全21话",http://i0.hdslb.com/bfs/bangumi/a7c3fb28b0292abdfbdfa5999b1f15bd7765682c.jpg,16,2521
凸变英雄 LEAF,6162.6万,173.1万追番,79.1万,9.4,31107人评,2018年4月14日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/b90bade2beecf9d92a03c750f98d061aaafb79ef.jpg,608,14435
女武神的餐桌 第二季,3335.7万,172.2万追番,33.9万,9.2,13998人评,2020年7月17日开播,"已完结, 全8话",http://i0.hdslb.com/bfs/bangumi/image/05257c5235d8d39385c73c8e2644c44d955a7587.jpg,24,4897
烈火浇愁,4655.2万,164.4万追番,27.3万,9.8,19231人评,2021年10月7日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/3496618d7f6f4982775f6fb4f7bf8c266ca2c488.jpg,205,8305
通灵妃,1.3亿,163.1万追番,134.9万,8.8,15104人评,2018年11月30日开播,"已完结, 全16话",http://i0.hdslb.com/bfs/bangumi/1fba6095a44aa1fa6e19adb7b50e58a288be623c.jpg,68,7069
女武神的餐桌,5086.1万,159.7万追番,53.7万,9.4,19471人评,2019年6月28日开播,"已完结, 全10话",http://i0.hdslb.com/bfs/bangumi/f0ca3a855d90b27e7cdb5e5becb3f919edf87d65.jpg,23,6915
我的三体之章北海传,8346.2万,159.4万追番,98.3万,9.9,107892人评,2020年1月21日开播,"已完结, 全9话",http://i0.hdslb.com/bfs/bangumi/image/b6ba1ac1498e17750f69da19163b4adbbe122995.png,242,40677
阴阳师·平安物语 第3季 ,580.1万,157.1万追番,1.8万,9.5,780人评,2022年1月25日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/7491b548b022db67b24f118962132d1e863a2536.jpg,5,278
